row_id,date,actual,social_distancing,current,new,returning,current_r,new_r,returning_r,current_log,new_linear,return_log
1,1/1/2020,40334,40301,35156,985,4164,0.907355786,0.449746193,0.518011527,31101.87963,934.9766729,3172.308636
2,1/2/2020,39033,38994,33992,973,4032,0.920834314,0.469681398,0.532986111,31145.23109,926.4587454,3232.581466
3,1/3/2020,39420,39381,34330,954,4104,0.915001456,0.472746331,0.541666667,32222.06303,1142.403475,3962.487418
4,1/4/2020,40297,40269,34980,1034,4261,0.910005718,0.427466151,0.53226942,34227.78164,1546.824672,5258.808189
5,1/5/2020,40518,40487,35397,986,4112,0.904963697,0.411764706,0.5,35096.67952,1353.454106,4794.453279
6,1/6/2020,36286,36257,32093,801,3365,0.923441249,0.438202247,0.512332838,31994.06129,997.3338576,3368.969545
7,1/7/2020,34824,34791,31037,708,3049,0.931823308,0.466101695,0.535585438,31640.73762,957.1127606,3206.764534
8,1/8/2020,34238,34209,30676,716,2820,0.931705568,0.441340782,0.526241135,31101.87963,934.9766729,3172.308636
9,1/9/2020,34074,34043,30549,676,2820,0.931519853,0.440828402,0.536524823,31145.23109,926.4587454,3232.581466
10,1/10/2020,35480,35449,31212,804,3435,0.93287838,0.504975124,0.519650655,32222.06303,1142.403475,3962.487418
11,1/11/2020,39361,39336,33727,1136,4477,0.917336259,0.402288732,0.505695778,34227.78164,1546.824672,5258.808189
12,1/12/2020,39424,39399,34230,952,4221,0.909932807,0.408613445,0.474295191,35096.67952,1353.454106,4794.453279
13,1/13/2020,33765,33736,30166,723,2848,0.933401843,0.514522822,0.519311798,31994.06129,997.3338576,3368.969545
14,1/14/2020,33839,33813,30142,679,2995,0.933149758,0.459499264,0.501836394,31640.73762,957.1127606,3206.764534
15,1/15/2020,33418,33390,29926,687,2781,0.935507585,0.441048035,0.531103919,31101.87963,934.9766729,3172.308636
16,1/16/2020,33945,33915,30250,765,2904,0.928132231,0.477124183,0.517217631,31145.23109,926.4587454,3232.581466
17,1/17/2020,34896,34867,30592,832,3447,0.928249215,0.486778846,0.515230635,32222.06303,1142.403475,3962.487418
18,1/18/2020,38408,38386,32554,1213,4623,0.916968729,0.440230833,0.514600909,34227.78164,1546.824672,5258.808189
19,1/19/2020,39159,39139,33494,1039,4608,0.910521287,0.427333975,0.473741319,35096.67952,1353.454106,4794.453279
20,1/20/2020,37454,37407,32466,981,3963,0.90827327,0.406727829,0.467827403,31994.06129,997.3338576,3368.969545
21,1/21/2020,32219,32181,28827,683,2671,0.933430464,0.475841874,0.489704231,31640.73762,957.1127606,3206.764534
22,1/22/2020,32203,32174,28841,697,2638,0.935612496,0.464849354,0.522744503,31101.87963,934.9766729,3172.308636
23,1/23/2020,31671,31641,28388,713,2540,0.935571368,0.469845722,0.523622047,31145.23109,926.4587454,3232.581466
