date,current,new,returning,current_r,new_r,returning_r,rev_crowns,arpu_crowns,rev_ingame,arpu_ingame,rev_ppdcard,arpu_ppdcard,rev_monthly,arpu_monthly,rev_prepaid,arpu_prepaid,rev_semi,arpu_semi,rev_annual,arpu_annual,rev_sub_ppt,arpu_sub_ppt,rev_total,arpu_total,dau
1/1/2015,82927,6329,10964,0.865399689,0.530731553,0.485133163,44270.22,0.441730393,3953.27,0.039445919,20734.46,0.206889443,0,0,0,0,0,0,0,0,41548.39,0.414571842,110506.34,1.102637597,100220
1/2/2015,82263,6136,10555,0.863292124,0.521512386,0.480909522,43090.29,0.435457788,3263.19,0.032976838,32063.06,0.324019848,0,0,0,0,0,0,0,0,38381.78,0.387874972,116798.32,1.180329446,98954
1/3/2015,81760,6437,10670,0.861668297,0.528507069,0.479568885,38517.06,0.389584593,3019.39,0.030539917,25792.94,0.26088523,0,0,0,0,0,0,0,0,37367.51,0.377957357,104696.9,1.058967097,98867
1/4/2015,80628,5353,9670,0.850349754,0.486456193,0.456153051,34953.05,0.365422735,2394.76,0.025036435,18655.27,0.195034762,0,0,0,0,0,0,0,0,31966.79,0.334202361,87969.87,0.919696292,95651
1/5/2015,66374,4007,6930,0.888525628,0.535562765,0.517748918,49574.97,0.641240832,1963.18,0.025393282,14841.1,0.191966214,0,0,0,0,0,0,0,0,27484.25,0.355502451,93863.5,1.21410278,77311
1/6/2015,62182,3292,6038,0.9042649,0.545261239,0.536932759,33811.71,0.472811696,1704.04,0.023828728,10671.23,0.149222928,0,0,0,0,0,0,0,0,26852.47,0.375496001,73039.45,1.021359352,71512
1/7/2015,62011,3557,6374,0.904210543,0.545684566,0.520552243,33909.96,0.471351366,1514.47,0.021051264,9383.49,0.13043132,0,0,0,0,0,0,0,0,25071.79,0.348500042,69879.71,0.971333991,71942
1/8/2015,61976,3720,6497,0.902413838,0.547580645,0.505925812,34573.79,0.478907789,1519.99,0.021054534,10308.39,0.142789329,0,0,0,0,0,0,0,0,24684.51,0.341923871,71086.68,0.984675523,72193
1/9/2015,66310,4323,8441,0.901523149,0.555170021,0.530505864,43482.08,0.549890988,2003.14,0.025332473,14025.67,0.177373979,0,0,0,0,0,0,0,0,24652.37,0.311763285,84163.26,1.064360725,79074
1/10/2015,75340,6415,13539,0.87367932,0.532969602,0.480020681,48865.52,0.512786954,2543.2,0.026687934,22280.64,0.233809474,0,0,0,0,0,0,0,0,26739.03,0.280595106,100428.39,1.053879468,95294
